,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
2209,advair-diskus,10,Highly Effective,No Side Effects,asthma,"Advair keeps my asthma completely in control if I am faithful to take the required dosage each day.  I have taken fluticasone before, but it seems to be the addition of salmeterol that is the key for keeping my asthma under control.",I have not experienced any treatment side effects.  I do have to rinse my mouth out after each dose to prevent oral yeast infection.,"Each diskus has 60 chambers each containing a dose of medicine.  Dial to the next chamber, open it, put your mouth over the chamber hole and inhale.  I hold it in my lungs as long as I can then breathe out and rinse out my mouth.  The dosage counter lets you know how many doses remain."
4088,mobic,1,Marginally Effective,Moderate Side Effects,severe back pain,None yet,None...YET,"After reading these reviews, I'm afraid of even starting this drug even with doctor's Rx. of t.5 mg daily.   Occasionally very effective but below average I think.   Why run tge risk of some of the horrible side effects, e.g. stomach surgery.  No thanks.  I'll take my prednisone!!"
2631,depo-provera,4,Highly Effective,Severe Side Effects,preventing pregnancy,"In one year, I only had two periods. My periods before Depo were 2-3 days and very light, on Depo they were longer and heavier. It is so convenient not having to remember to take a pill everyday at the same day. It was also 100% effective with preventing pregnancy for me.","The first side effect I noticed was my complete lack of sex drive. After this came the ridiculous mood swings that caused fights with my boyfriend over nothing. I would just cry for no reason at all and I felt like I was going insane. Breast tenderness was also becoming an annoyance because it would last for months. While these side effects were severe to me, the worst is the huge concave I now have in my thigh. While I had a total of four injections, only one caused a huge dimple. It's really embarassing and extremely noticable and I'm not sure why it happened. The doctor said it has happened to a few other patients including discoloration of the injection site. This is when I got off Depo and switched to Seasonique... Hopefully, this will work out better.","If you don't like receiving shots, this is definitely not the right method. It is a pretty large injection.  However, you only have to endure it four times a month and it's not painful."
3108,ortho-tri-cyclen,4,Considerably Effective,Moderate Side Effects,birth control/control of menstrual cycle,"The Ortho Tri-Cyclen provided effective birth control, and it also did cause my mentstrual cylcle to be more regular. My periods were less heavy, and I did not have such severe menstrual cramping each month while I was taking the pills. There are no other benefits to taking the pill that I am aware of.","I experienced migraine headaches several times per week where I could not do anything other than lay down with the lights off while on this medication. At first, I had no idea what was causing them, but my doctor informed me that my symptoms could be indicative of a more severe side effect, and she therefore advised me to stop taking them. They also caused some bloating and moodiness.","The Ortho Tri-Cyclen birth control pills are a low dosage progesterone treatment that is intended to prevent pregnancy. I was required to take one pill every day. My understanding is that I experienced a relatively rare side effect with the migraines. I have not heard any similar complaints from friends who were taking the same pill, other than complaints about weight gain, bloating and mild acne."
2175,zyrtec,7,Highly Effective,Moderate Side Effects,allergies,almost 100% elimination of allergy symptoms,"mild-moderate fatigue on awakening, brain fog till after lunch (at 10 mg dose)","Started on Zyrtec after Claritin was ineffective and Allegra caused arrhythmias.  Combined with nasal steroid spray for very effective relief of allergies.  Cut dose to 5 mg daily to reduce brain fog/fatigue issue - this works most of the time, ezcept on high mold spore or pollen days."
1783,citalopram,7,Moderately Effective,Moderate Side Effects,"depression, anxiety",Decreased crying and depression.  Decreased anxiety.  Got rid of insomnia.,"20mg - Mild nausea, stomach aches.  Dry mouth.  It made me very, very tired, so I take it before bed and sleep wonderfully. With 40mg dosage - increased sweating, faintness, nearly passing out.","I started with the 20mg dosage and it seemed to be working pretty well until about a month in when I had a bad anxiety attack.  After seeing the doctor, she upped me to 40mg.  After one dosage of 40mg, I nearly passed out twice and started profusely sweating.  My hearing also went all funny.  The doctor advised me to drop back down to 20mg and then try to go back up to the 40mg.  Emotionally, I felt better after the 40mg, even after nearly fainting, but the side effects were very bad."
641,seasonique,5,Moderately Effective,Moderate Side Effects,birth control,"I thought the benefits would be one period every 3 months, pregnancy prevention, regulated periods. I also read that they would be lighter and shorter and help with acne. WRONG!","Well I was quite leary about starting Seasonique, I was already taking Yaz and I loved it, but 4 periods a year why pass that up. From the moment I started taking it, it wasn't a decreased sex drive, I had none at all, which made the birth control completely useless to me. In addition to that, the acne just kept getting worse, I didn't have acne to begin with besides the occasional blemish here and there. It started getting worse on my face, then my chest, then my back, (it's not just one here or one there, my back, chest, and chin are seriously covered) I've even had one on my ribs! Crazy! My boobs no longer fit into my bras, even some shirts. It was like they doubled in size overnight (not a huge problem, just annoying with no explanation). I went out and bought a bra, a week later it didn't even cover my boobs. Lastly, I've been fretting the last 2 weeks because I still haven't gotten my period! I never had a problem with my periods showing up in the past, they've always been lighter and not very long, pretty ideal actually. The Dr. said I would bleed between... still not bleeding! I've taken 3 pregnancy tests, wasted 10 bucks on each! Oh yeah, I've been crying for no reason at all the last month. I started crying over some lady I didn't even know at work. I do not recommend taking Seasonique. I know it must be expensive although I don't know how much because my Dr. gave me sample packs and I'm not going to bother refilling it. Also they give you a coupon for $50 off and $25 off the next refill, if they are giving that much off it must be a lot. It wasn't terrible, just nothing was expected (and I still have no clue as to why I haven't gotten a period yet). I've tried several other birth control pills and never had any side effects with any of them. This is the first time I tried one where I only get a period every three months so maybe those are way different or something. If you are looking for a good pill, Yaz worked great for me and I never had any breakthrough bleeding, mood swings, loss of sex drive, acne or anything. Hope this helps.","1 pill every day for 12 weeks, then 1 week of period pills"
3959,prilosec,10,Highly Effective,No Side Effects,gerd,"Initially diagnosed with GERD 13 years ago, I was miserable with C/O heartburn and an uncomfortable epigastric ""feeling"" After EGD I was diagnosed with a hiatal hernia and gerd. Started on Prilosec and cut back on caffeine and quite smoking. I have not experienced any symptoms since that time.",None,Prilosec 40mg at HS
3156,prednisone,8,Highly Effective,Moderate Side Effects,severe asthma,Before treatment I could not breathe sufficiently to move about. After taking the medication for approximately three days the symptons began to subside and I was albe to function again. All told it took approximately one week before I could return to normal activities.,"Increased appetite, blurred vision and mental confusion. I would eat a 1/2 gallon of ice cream each night while on this medicine.","I was prescribed four tablets per day for the first week, then I needed to wean down to three tablets for three days, two tablets for three days and then one tablet for three days."
569,atenolol,7,Highly Effective,Moderate Side Effects,tachycardia,Bringing heart rate down from dangerous and very painful levels to comfortable levels. This was generally achieved within half an hour and lasted for many hours (i.e. until the spisode had passed - so no repeat dose usually required).,Some dizziness and spaced out feelings.,"One tablet every few weeks (on average), when necessary for tachycardia caused by exercise, hot weather, coffee, allergic reactions, sitting for long periods in one posture - particularly on a long place flight; etc."
3781,bentyl,7,Considerably Effective,Moderate Side Effects,diaheria assc. w/ chemo,"controlled loose stool and fluid loss due to chemo; nausea control; control of mouth thrush, sores.  The Bentil in particular worked much better than immodium for diarhea control and fluid retention.  It also stopped colon muscle spasm.","dizziness, fatigue, loss of appetite",benil taken 2x a day to control diarhea; flucanzole 1x  a day for thrush; rest of medications for nausea
3228,nuvaring,10,Highly Effective,No Side Effects,birth control,Birth control,None,"I kept forgetting to take my daily birth control pill, so my doctor prescribed the Nuvaring. I put it in once, take it out in 3 to 4 weeks, and put a new one in a week later (after menstruation). I don't forget anymore and have no worries about an unwanted pregnancy."
3584,differin,5,Moderately Effective,Moderate Side Effects,acne,"I can't really say that the benefits were incredibly impressive. The topical treatment was used along side of an antibiotic for a series of weeks.(4-6) The acne condition improved, but never completely. Eventually, after a couple more scattered, severe breakouts in the following years; the acne went away.","The side effects were dry, tender, itchy skin. Lotion and Sunblock were very necessary.",One dime size topical application once every night before bed. This was alternated every other night with a topical retinol cream and combined with an antibiotic pill that was taken daily with a meal.
2265,lexapro,10,Highly Effective,No Side Effects,mild depression,"The benefits were amazing.  After 3 days, I felt good.  I didnot want to stay home and not see anybody.",A little sleepiness at first.,"I have always been depressed.  This flared up considerable when I was having trouble with endometrious.  I was just sick of myself.  Within a few days of taking Lexapro, I felt beeter and could make reliable decisions about things.  After my hysterectomy, I needed the meds to work with the HRT.  I just needed a little boost because my body was not responding to the hormone therapy like it should."
3154,prednisone,10,Highly Effective,Mild Side Effects,rheumatoid arthritis,"reduced the fatigue, swelling and pain associated with RA","mild tendency to gain weight, however appetite which had been flagging was regained","Take the medication in larger doses at the very beginning, and then taper off gradually.  Very important to taper, no sudden stops or starts to this medication, adverse effects if you do."
3991,fosamax,4,Ineffective,Mild Side Effects,osteoporosis,"in theory, my bones should have gotten stronger, as measured by the bone scan done at my gynecologist office once every 18 months","I first tried the tablets and they would sit on my stomach as if I had a brick for breakfast. So I tried the oral solution which, in fact, was better on the stomach but,still, not completely without side effects. Most of the days I took Fosamax I had a slight stomach discomfort during the morning.","I took Fosamax for almost 4 years and after 2 bone density scans which showed no improvement  I decided to stop the treatment, against my doctor advice which was to take Fosamax for at least 5 years. I believe that we still do not know enough about how the bone keeps itself healthy and that bone scans are not yet reliable. It's a big business and I finally refused to keep a medication that is so hard on the digestive system and can also have very dangerous side effects (frozen bones, I believe it is called). I still have to be convinced that a low density bone is not necessarily stronger than a bone with more density. Waiting for more research I am trying to walk as much as possible and to follow a reasonable diet. And to be at peace with myself...  Thanks!"
2777,clindamycin,2,Moderately Effective,Severe Side Effects,post dental work,Initial signs of infection appeared to be treated effectively.,"After a few days on this medication, it caused persistent diarrhea lasting several weeks.","Medication prescribed after root canal dental work to treat initial symptoms of infection. While infection did not occur, diarrhea was so persistent that I had to seek medical treatment. Will not take this again."
1976,lyrica,9,Highly Effective,Moderate Side Effects,leg pain from compressed spinal cord,I was unable to go up and down steps without acute pain and unable to stand long or walk for too long without pain becoming unbearable.  I took my first dose of 100 mg  at bedtime and woke up in morning feeling almost like a new person.Tremendous reduction in pain and spasms of leg with greater range of motion.   After a day or two i had to increase the dosage as the knee started to stiffen up again making walking and steps difficult.,"Side effects are sleeping very heavily and waking up beyond my usual time feeling a bit loopy. I am able to drive to work, but find it hard to verbalize during conversations and seem to be grasping for words at times, which is embarrassing in my field of work.i have also found myself to be quite unproductive at work,accomplishing anything seems to be a major chore.","I have a 6 year history of ruptured discs cervical and lumbar with cord compression post MVA  resulting in leg spasms, fasciculations and strong diffuse leg ache with limited range of motion.also weakness of both extremities and numbness in big toe.

I am on 150mg qhs (once every night before bedtime). I supplement the lyrica with Aleve during the day."
31,alprazolam,10,Highly Effective,Mild Side Effects,anxiety and panic diorder,"Alprazolam worked wonders for me I wish I had gotten prescribed a long time ago, works very well for anxiety and panic.",At first it made me a little tired but that did not last long,"I take it prn when my anxiety is at a high level, I have one with me at all times incase I need it, one usually does the trick and I feel ""normal"" it is a feeling I have not had in a long time, I would recomment this drug to anyone suffering from anxiety and or panic."
1133,methadone,9,Highly Effective,Moderate Side Effects,back pain,"Methadone certainly took care of the back pain I was experiencing. It was better than the other pain meds I tried (vicodin, oxycontin, percocet). The methadone doesn't make me drowsy nor does it give me ""buzz"".","The side effects is weight gain.  As it was explained to me, the methadone slows down your metabolism, hence the weight gain.","I had scoliosis and also landed on my head in a dirt bike riding accident.I had back and neck surgery. I was fused in my last three vertebrae and had a 14"" rod implanted on the left side of my back and also one of the vertebrae in my neck was fused. I had physical therapy and was given methadone for the pain."
1522,glucophage,1,Ineffective,Extremely Severe Side Effects,diabetes type 2,None that I could see. Made me very sick and weak.,"Nausea,chills,difficulty breathing,indigestion,dizziness,lightheaded,tired,anxiety","Prescribed about a month ago Recently diagnosed with Type 2 diabetes. Tried for the better part of three weeks. The side effects were mild at first, but intensified so much, I ended up in the ER. Stopped taking it two days ago and slowly regaining my strength."
2100,renova,8,Moderately Effective,Mild Side Effects,aging skin on face,"I feel the treatment was very helpful in keeping my skin clear looking,and i think somewhat tighter,  it also  gave my face a healthy color and appearance ,it was less dull the way aging skin can become. I also think it did keep some lines at bay.it gave me a much improved appearance,i have been using renova for a few years and I will continue to use this cream for a long time to come.",peeling for the first few weeks and a lot of redness in the first 2 weeks also.,"in the evening after washing my face lightly  without hard rubbing ,using a mild face cleanser, i would let it dry for a good half hour then apply the renova cream also lightly no hard rubing in ,then let it be absorbed into skin."
872,paxil,7,Considerably Effective,Moderate Side Effects,depression,"Helped me to feel better.  Lessened anxiety, panic attacks, tension, emotional exhaustion.  I was able to tolerate being around people better because talking did not seem so loud. Once I was used to the drug, it helped me get out of bed and function in day to day life better (falling asleep & getting out of bed was a serious struggle).  Eventually with the combined therapy, I pretty much now feel like myself again, just with less energy reserve and ability to have discipline with my routine.  (For instance, I can't get up early, during the 5am, 6am hours and get to work on time like I use to.  In fact I'm late for everything now which is out of my character) Can' tolerate multiple loads of stress with calmness and collectivity like I use to.  Otherwise day to day life is manageble as long as I obey my bodies new limitations.

I didn't gain weight or increase in appetite.  I struggled with appetite actually and at times had to force myself to eat.","This drug gave me alot of strange sensations.  When I turned my head left or right, I got this mild scratchy or whip like noise in my ears along with a tingling in my head; also my vision seemed to briefly black out.  This lasted for many months. I thought it was perhaps not real or just in my head. My psychiatrist called it ""tracking"" and confirmed it as a known side affect with paxil use.  I didn't bother to worry anymore about it.  This passed after some months.  I no longer get it.  I felt very dizzy and sleepy at times.  I'd fall asleep anywhere.  I don't know if it was the depression, the paxil, lack of sleep, my body trying to heal from stress.  Sometimes I felt like I was living life from inside of a fish bowl (from sensory standpoint). I was chronically late to my job of 8 years for 2 years straight after suffering this nervous breakdown (due to spousal abuse).  Subsequently, I was fired.

When I miss doses of the paxil, especially 2 or more in a row, I feel like I did when I just started them.  I can barely get out of bed and function.  I'm super sleepy.  I feel drunk.  I'm dizzy.  I will literally go missing for 2 days.  It takes a few days of regular doses to get me back into my normal mode.","Initially I was only prescriped paxil and xanax.  I took only these for a few months under my PMD.  Dose was increased from a lower one to 20mg as my depression and anxiety symptoms were still moderately severe, impairing my work performace and other quality of life.  Withing a few months I was referred to a psychiatrist for med mgmt. After less than 6 months, Wellbutrin was added to the cocktail at a dose of 150mg, then increased to 300mg XL once daily.  Ambien was also presccribed as my symptoms did not allow me to fall asleep.  Life greatly improved within the next 8 months to a year.  I weaned off the ambien and xanax completely.  Still take the paxil and wellbutrin at the same doses.  Also had counseling during all of this time."
3816,nolvadex,7,Moderately Effective,Moderate Side Effects,breast cancer,"The benefits of tamoxifen have been to be cancer free 2 years after my diagnosis. Hopefully this ""clean bill of health"" will continue as I begin year 3 of tamoxifen in my 5 year plan. The benefits of effexor help balance the mood swings caused by a lowered amount of estrogen in my body. Tamoxifen does its job by keeping the estrogen blocked in my body so any abnormal cells can't feed on the estrogen. My cancer was highly estrogen-positive. Lowered estrogen causes depression and mood swings. Effexor helps to alleviate these symptoms along with my exercise regime and healthy eating habits.","Side effects were more severe at the onset of taking tamoxifen. I had hot flashes that were quite severe. They often came without warning especially at mealtime. I also had some body aches and pains. Vaginal dryness was also severe. My period became erratic. After 2 years most side effects have decreased - hot flashes are gone as well as the aches. My period has been non-existant for 4 months. However, I feel irritable and edgy about the regularly scheduled time for a few days. The effexor helps. Dryness is still a problem but not as severe. Vaginal odor continues to be a concern.","I was put on Tamoxifen for 5 years following my 9/05 breast cancer diagnosis. I started Tamoxifen 12/05. I started Zoloft 2 months later when I began having mood swings. Zoloft helped for a year then I felt my symptoms returning. I began Effexor at 75 mg and have been fine. My oncologist felt I am young and strong (age 46, exercise 4 times weekly, runner, martial artist) and that I should try to lower or end my Effexor. However, I didn't agree. I needed help with the mood swings and irritability. I can't lose my temper at work. I work with developmentally disabled adults. Losing my temper could be my job. I did try a natural regime of vitamins (B-12 and E) for several months but I felt no relief. Friends even told me about my mood. I went from depressed to angry in a flash. The 75 mg of Effexor is wonderful. My estrogen is blocked by the Tamoxifen and the effexor helps keep me at an even keel."
2225,allegra,8,Considerably Effective,Mild Side Effects,seasonal allergies,"I had terrible itching, watery eyes, and sneezing from seasonal allergies.  This medication did not completely elimiate my symptoms, but is reduced them to a tolerable level without making me too tired or doped up to function at work.","I think I did experience some drowsiness from the medication, but nothing that was overly so such that I could not function at work.",The doseage was one pill/day
2596,buspar,10,Highly Effective,Mild Side Effects,anxiety,"I lived in a constant state of panic (shortness of breath, rapid heart rate, flushed feeling), and this medication completely erased all these symptoms.  I can now think clearly and make rational decisions.  I chose to stay on this very low dose and take an Ativan on the rare occasion a panic attack breaks through.","I feel a little drowsy and slightly lightheaded for about 30 minutes after taking medicine, but it is not severe enough to interfere with my work or life.",I take half a 10 mg tablet in the morning and the other half in the late afternoon.
3170,prednisone,2,Moderately Effective,Severe Side Effects,polymyalgia rheumatica (pmr),"A slight reduction in pain. I am diabetic and was warned that it would raise my blood sugars, but it significantly reduced the night sugars.","Extreme shortness of breath (exhausted just walking from bedroom into bathroom and adding an inhaler did not significantly improve the condition, dizziness, chest pressure, water retention, confusion. The night sugars dipped dangerously low so I discontinued my night injection of Lantus. I have lost my independence with the use of this drug and become homebound.","After the diagnosis of PMR, I was instructed to take 10 mg. in the morning. Although the pain diminished, it was still high so dosage was increased to 15 mg. I repeatedly advise the rheumatolist of the breathing problems to no avail. The family doctor suggested dropping the dosage to 7 1/2 mg. per day, but the pain became extreme again so I went back to the initial dose of 10 m.g. The rheumatolist has suggested that I will be on prednisone for a year."
2506,dicyclomine,7,Moderately Effective,Mild Side Effects,ibs,helps with ibs-c,"slightly ""drugged"" feeling, went away after a few days","supposed to take one tablet before each meal and one at bedtime. i take only one at bedtime and have still had considerable success w/ibs symptoms. i also supplement with acacia powder, apple cider vinegar, acidophilus supplements, and magnesium supplements."
398,relpax,5,Marginally Effective,Moderate Side Effects,migraine headaches,"The medication took almost thirty minutes to kick in.  Once the medication started to take affect, I began to develop a tingling sensation in my left hand and later my right hand.  I also noticed my hands were very shaky after the medication was in my system for at least an hour.","The medication took almost thirty minutes to kick in.  Once the medication started to take affect, I began to develop a tingling sensation in my left hand and later my right hand.  I also noticed my hands were very shaky after the medication was in my system for at least an hour.","Once a migraine is formulating, one pill is to be taken.  The medication took almost thirty minutes to kick in.  Once the medication started to take affect, I began to develop a tingling sensation in my left hand and later my right hand.  I also noticed my hands were very shaky after the medication was in my system for at least an hour."
2116,renova,5,Considerably Effective,Severe Side Effects,wrinkles,My skin was much smoother and the pore size seemed to shrink.  Wrinkles were dimininshed and age spots lightened.,I developed acne that continnued to worsen until I stopped using it.  I had peeling and redness around my chin and peeling on my forehead.,"Each night I washied my face with a mild clanser and waited for 20 minutes as reccommended by the prescription instructions.  I then applied a pea size amount of the treatment to my entire face.  I stopped using all the other skin care products I had been using before such as astringents, & benzoil peroxide.  My skin became very dry and peeled off during the day. Ane I developed large bumps and shallow flat white pussy blemishes all over my face, particularly on my chin & forehead.  I could see, however, that without this the texture and pore size improving, and my wrinkles on my forehead and around my eyes were noticably improving.  I discontinued use after 3 weeks and went back to using benzoil peroxide to try to calm down the acne.  After 2 weeks it is starting to get better, but my skin is rougher now and the winkles and lines around my eyes are back to the way they were before I started the treatment."
3905,nexium,10,Highly Effective,No Side Effects,acid reflux,The medication eliminated the nausea/stomach upset. Added benefit was weight loss because I could stop using food to settle my stomach.,none,Just took one capsule 1/2 hour before breakfast each morning.
1903,doxycycline,7,Highly Effective,Moderate Side Effects,mrsa infected hip resurfacing.,Should complete decolonization of MRSA and hopefully ensure that infection does not reoccur.,NAUSEA!!! You must remain upright after taking the dose or you will get severe acid reflux.,"2 surgeries to flush the hip, 8 weeks of IV antibiotics (5 weeks in hospital) followed by 10 months of oral antibiotics.  If unsuccessful a total hip replacement will be required."
3477,dextroamphetamine,8,Considerably Effective,Mild Side Effects,add,My depression has lifted and I am able to concentrate more than I was previuosly,weight loss and loss of appetite,simply remember to take medication
2569,klonopin,1,Marginally Effective,Moderate Side Effects,anxiety,None,"Impossible to stop taking; had to do a Librium switch to get off this drug. The withdrawal is horrid, and there are tons of people suffering because of this.","I had post-partum anxiety/depression, and was misdiagnosed with Bipolar with a post-partum onset. The Klonopin was prescribed for anxiety; a long term anxiety reducer. I saw little to no benefit. I was later rediagnosed by another doctor who said I absolutely did not have Bipolar, and slowly took me off my meds (5 years ago), which I'd been taking for six years. All drugs were easy to get off slowly, with the exception of Klonopin, which was hideous. The only way to get this drug out of my system was to do a Klonopin/Librium switch...and the Librium was very easy to get off of, thank goodness!"
4072,mobic,2,Ineffective,Moderate Side Effects,"poss. rheumitoid arth. lupus, or fibromyalgia","At least I tested it to see if i had Rhemutoid arth. before going through extensive testing.(I still have tto have test, but the doctor felt this might let us know which path to follow)","It hurt my stomache. I followed the direction and took it with food. My symptoms of the muscle, joint pain, fatigue, etc. seemed to almost get worse.",Take two 7.5 tabs twice a day. Return to DR. in 2 1/2 weeks. If it works good we know if not we'll go from their.
1673,claritin,1,Ineffective,No Side Effects,allergies,There were no benefits.,Absolutely none.,"I bought a 24-count box and took two as recommended each day.  2 days later having felt nothing, I took 4 for 2 days.  Again 2 days later I still had not received any relief, so I took the entire box.  Absolutely nothing happened.  This was the name brand drug, not a generic."
3346,lipitor,7,Considerably Effective,No Side Effects,high cholesterol,lower cholesterol,none,daily with water at nite. and every three month blood test for liver issues.
2703,naltrexone,10,Highly Effective,No Side Effects,multiple sclerosis,It stopped my Multiple Sclerosis progression.  I still take it.  There are a lot of MS patients  who are using it now.  It really works and is a very safe inexpensive drug.,I dream a little more.,"It is a FDA approved drug at 50 mg. for Drug dependent patients.  It has been used in the 3 to 4.5 mg doses for MS for about 10 years.  It has gained popularity in the past 5 years and is undergoing various double blind placebo testing at this time for MS, Crones Disease, Aids, and various other conditions.  It is extremely safe in the Lower doses such as 4.5 mg.  It is also called LDN, as an abbreviation for Low Dose Naltrexone.  Once I started taking it for a few days, my MS symptoms improved and according to my Neurologist, my progression has absolutely stopped.  I started taking it in 2000."
33,alprazolam,10,Highly Effective,Mild Side Effects,anxiety,"About 14 years ago I started hyperventilating for no apparent reason.  I would wake up in the morning and within an hour I felt like I had to struggle to breath.  This would continue all day, every day.  After 5 years, I was prescribed alprazolam (the generic Xanax).  It worked almost immediately.  I still have some days that are worse than others, but it has been a lifesaver for me.  I take one when I get up and then 2 or 3 times again during the day as needed.  It stops the hyperventilating totally for the most part.",The only side effect is a mild drowsiness.  I take a very small dose.  The highest I take at one time is .5 mg.,"I take one .25 mg pill within 1 hour of waking up.  I usually take the second one around noon and another before going to bed.  If my condition is worse for whatever reason, then I might take another one during the day, or one .5 mg in the evening.  Sometimes if I'm busy and I miss taking a dose, and I feel myself beginning to hyperventilate, I'll then take one.  It works fast."
214,trental,8,Highly Effective,Mild Side Effects,hiv,"The Trental reduced my viral load, increased my sex drive from none to moderate and the side effects were just some stomach upset, which was fixed by reducing my dose to twice a day.",Mild nausea and mild dizziness that were dose related.,I wanted to see if the Trental would reduce my viral load and it did.
1502,metrogel,1,Ineffective,No Side Effects,skin  texture changes due to rosacea,None,none,"Metrogel was applied after cleansing, before applying moisturizer.  This was done twice a day, morning and evening.  There was no change in the 'bumps' that were on my face, and there was no change in the progression of others that were forming.  I religiously used this get for two years before stopping treatment.  Using Metrogel was a complete waste of time for me."
3671,effexor-xr,3,Marginally Effective,Mild Side Effects,depression,"I do not feel there were any benefits from this treatment - only side effects.

Weaning off the the drug was extremely difficult.","Impotence, tremor",I was given Effexor to take once a day for depression. I did not derive much benefit. I received a lot of benefit from seeing a therapist and taking nutritional supplements.
1335,seroquel-xr,8,Highly Effective,Extremely Severe Side Effects,bipolar ii,"I was diagnosed with Bipolar II disorder in February of 2009. I found that my manic states led to very erratic and inconsistent behavior. I also found the depressive lows to be particularly difficult to manage.



In November 2009 I was prescribed SEROQUEL by a Urgent Care Physician. Immediately I found its calming effects to be extremely relieving to my mania. I did, however, find it difficult to maintain a functioning state due to its sedating effects. I then switched to SEROQUEL XR and found a much more successful experience. I was initially given 400mg SEROQUEL XR paired with 10mg LEXAPRO. While initially a good way to stop the mania, I found 400mg to be too much to function on. I decided to halve my SEROQUEL XR dose to 200mg continuing to take 10mg of LEXAPRO. This combo has been great and I am so much calmer and feel way more in control of my life. I do, however, find the sedating effects to be difficult upon awaking in the morning. I try to offset this by ensuring that I receive a full 8-10 hour rest after administering a dosage. I would highly recommend this combo to anyone that is having difficulty finding a mental balance between dark and light. This year of treatment has allowed me to find a calm that I have never quite experienced beforehand.","I found that despite the great benefits mentally, the physical side effects are a fair trade. 



I was about 115 lbs when I started this drug 10 months ago. Today I way about 147lbs. That's definitely a 37 pound gain.



Additionally, I always prided myself on my enormous amount of energy. After taking this drug I am extremely lethargic in the hours after taking it (bedtime) and the morning hours.",I take 200mg of SEROQUEL XR and 10mg of LEXAPRO nightly.
1124,evista,8,Considerably Effective,No Side Effects,loss of bone density,"BONE DENSITY INCREASED.  I HAD A BONE SCAN AND SHOWED ON THE BORDER LINE OF OSTEOPEROSIS, (?)  WELL AFTER TAKING THIS DRUG, MY BONE MEASUREMENTS INCREASED.  NO SIDE EFFECTS AND DEFIENTELY A GOOD MEDICATION FOR US BABY BOOMERS","NONE I DID NOT HAVE ANY SIDE EFFECTS, ONLY THAT MAYBE IT WILL HELP TO PREVENT BREAST CANCER, I HAVE A STRONG FAMILY HISTORY, MOTHER, GRANDMOTHER, AUNTS, COUSINS, WHO HAVE DIED OF BREAST CANCER.  SO THIS MEDICATION IS A GOOD THING FOR ME.","TOOK ONE TABLET A DAY, ALSO FOUND OUT IT HELPS TO PREVENT BREAST CANCER.  I HAVE BEEN TAKING FOR OVER 5 YEARS NOW, I NEVER HAD A SIDE EFFECT, TAKE EVERYNIGHT WITH MY MEAL.  NO ADVERSE EFFECTS.   I WILL CONTINUE TO TAKE FOR THE REST OF MY LIFE."
2424,synthroid,8,Highly Effective,No Side Effects,hashimoto's thyroiditis,"Most importantly, my blood pressure went back down to normal when my heart rate rose to a more normal level. I was then taken off the topral and my blood pressure has remained at a good level. Additionally, my hair stopped falling out and wasn't as dry. Also, my skin improved. Before the medication, my skin was horribly dry and flaky. The changes did not take place overnight. I would say that it took about 3-4 months to see any improvement in my hair and skin.","I really experienced very few side effects, if any.  Initially, they started me off on a very low dosage because they just thought it was simply hypothyroidism but after a blood test, they realized that I has Hashimooto's thyroidities and moointored it more closely. At low dosages, there wasn't much improvement in my symptoms. I do have excessive sweating but they aren't sure if that is the synthroid or menopause and the doctors don't really seem concerned.","Initially I was being treated for high blood pressure and put on topral but they did a TSH test and realized that something was wrong with my thyroid. I was originally started off on a very low dosage ( 12.5 mcg/daily) and had to keep going back for blood work every month. Slowly they increased it until they did another test and found out that it was Hashimoto's thyroiditis. At that point, they increased the dosage to 75 mcg/daily and so far it has worked out but I do have to keep having the TSH levels checked."
533,trazodone,9,Considerably Effective,Mild Side Effects,insomnia/poor sleep quality,"Could fairly quickly fall asleep, and usually stay alseep, with little ""sleep hangover"" problem that most other medications result in. I could function in the morning. My general health started improving (fewer flues and colds, headaches, stress and depression, and I had much, much less pain as I started getting regular sleep.","Some constipation, maybe dry mouth and eyes (not sure if there is a direct cause and effect, but definitely an overlap in timing). About three months ago I started waking up during the night (anywhere from 12:30 am to 3 am) without being able to go back to sleep. Have tried numerous other medications and they all had much, much worse side effects that trazodone.","I'm not sure what you mean by this, I take trazodone nightly, and have taken it for at least two years. My worst experience from other sleep medications came from ambien (well before my doctor had even heard of the side effects I was having, nor were they listed on the medication or mentioned in the news). I also take cymbalta in conjunction with trazadone, which also supposedly helps you sleep, but the cymbalta alone is not effective for sleep at all for me."
943,levaquin,1,Moderately Effective,Extremely Severe Side Effects,bronchitis,Terrible!  There are much safer alternatives than this poison.  Most fluoroquinolones have been taken off the market.  Johnson and Johnson should be ashamed of themselves.  They have not warned doctors properly of the serious side effects eventhough the FDA has placed TWO BLACK BOX WARNINGS!,"SEVERE shooting, burning pains in all four extremities.  Prolonged heart rhythms, hallucinations, nightmares, insomnia.  Weakness and pain in all four extremitities.  Was a healthy 25 year old PE teacher prior to this poison.  Now in a wheelchair.",IV 500 mg Levaquin with Solumedrol and Theophylline.  NEVER take these three drugs together!!!
3333,tetracycline,8,Considerably Effective,Mild Side Effects,moderate persisting acne,The combination therapy worked well but after discontinuation of therapy the condition returned and was worse than previous time.,dry skin and occasional nausea,I cleanse and apply elocon twice daily to my face and take antibiotics twice a day for 3 months my face cleared but returned after discontinuation of therapy.  Now my dermatologist has restarted the antibiotics orally and added retinoid cream twice a day.
