Text,Aspect,Sentiment_Score,,,,
"Each night I washied my face with a mild clanser and waited for 20 minutes as reccommended by the prescription instructions.  I then applied a pea size amount of the treatment to my entire face.  I stopped using all the other skin care products I had been using before such as astringents, & benzoil peroxide.  My skin became very dry and peeled off during the day. Ane I developed large bumps and shallow flat white pussy blemishes all over my face, particularly on my chin & forehead.  I could see, however, that without this the texture and pore size improving, and my wrinkles on my forehead and around my eyes were noticably improving.  I discontinued use after 3 weeks and went back to using benzoil peroxide to try to calm down the acne.  After 2 weeks it is starting to get better, but my skin is rougher now and the winkles and lines around my eyes are back to the way they were before I started the treatment.",renova,5,,,,
Just took one capsule 1/2 hour before breakfast each morning.,nexium,0,,,,
"2 surgeries to flush the hip, 8 weeks of IV antibiotics (5 weeks in hospital) followed by 10 months of oral antibiotics.  If unsuccessful a total hip replacement will be required.",doxycycline,-2,,,,
simply remember to take medication,dextroamphetamine,0,,,,
"I had post-partum anxiety/depression, and was misdiagnosed with Bipolar with a post-partum onset. The Klonopin was prescribed for anxiety; a long term anxiety reducer. I saw little to no benefit. I was later rediagnosed by another doctor who said I absolutely did not have Bipolar, and slowly took me off my meds (5 years ago), which I'd been taking for six years. All drugs were easy to get off slowly, with the exception of Klonopin, which was hideous. The only way to get this drug out of my system was to do a Klonopin/Librium switch...and the Librium was very easy to get off of, thank goodness!",klonopin,5,,,,
Take two 7.5 tabs twice a day. Return to DR. in 2 1/2 weeks. If it works good we know if not we'll go from their.,mobic,3,,,,
"I bought a 24-count box and took two as recommended each day.  2 days later having felt nothing, I took 4 for 2 days.  Again 2 days later I still had not received any relief, so I took the entire box.  Absolutely nothing happened.  This was the name brand drug, not a generic.",claritin,2,,,,
daily with water at nite. and every three month blood test for liver issues.,lipitor,0,,,,
"It is a FDA approved drug at 50 mg. for Drug dependent patients.  It has been used in the 3 to 4.5 mg doses for MS for about 10 years.  It has gained popularity in the past 5 years and is undergoing various double blind placebo testing at this time for MS, Crones Disease, Aids, and various other conditions.  It is extremely safe in the Lower doses such as 4.5 mg.  It is also called LDN, as an abbreviation for Low Dose Naltrexone.  Once I started taking it for a few days, my MS symptoms improved and according to my Neurologist, my progression has absolutely stopped.  I started taking it in 2000.",naltrexone,8,,,,
"I take one .25 mg pill within 1 hour of waking up.  I usually take the second one around noon and another before going to bed.  If my condition is worse for whatever reason, then I might take another one during the day, or one .5 mg in the evening.  Sometimes if I'm busy and I miss taking a dose, and I feel myself beginning to hyperventilate, I'll then take one.  It works fast.",alprazolam,-5,,,,
I wanted to see if the Trental would reduce my viral load and it did.,trental,0,,,,
"Metrogel was applied after cleansing, before applying moisturizer.  This was done twice a day, morning and evening.  There was no change in the 'bumps' that were on my face, and there was no change in the progression of others that were forming.  I religiously used this get for two years before stopping treatment.  Using Metrogel was a complete waste of time for me.",metrogel,0,,,,
I was given Effexor to take once a day for depression. I did not derive much benefit. I received a lot of benefit from seeing a therapist and taking nutritional supplements.,effexor-xr,0,,,,
I take 200mg of SEROQUEL XR and 10mg of LEXAPRO nightly.,seroquel-xr,0,,,,
"TOOK ONE TABLET A DAY, ALSO FOUND OUT IT HELPS TO PREVENT BREAST CANCER.  I HAVE BEEN TAKING FOR OVER 5 YEARS NOW, I NEVER HAD A SIDE EFFECT, TAKE EVERYNIGHT WITH MY MEAL.  NO ADVERSE EFFECTS.   I WILL CONTINUE TO TAKE FOR THE REST OF MY LIFE.",evista,1,,,,
"Initially I was being treated for high blood pressure and put on topral but they did a TSH test and realized that something was wrong with my thyroid. I was originally started off on a very low dosage ( 12.5 mcg/daily) and had to keep going back for blood work every month. Slowly they increased it until they did another test and found out that it was Hashimoto's thyroiditis. At that point, they increased the dosage to 75 mcg/daily and so far it has worked out but I do have to keep having the TSH levels checked.",synthroid,-1,,,,
"I'm not sure what you mean by this, I take trazodone nightly, and have taken it for at least two years. My worst experience from other sleep medications came from ambien (well before my doctor had even heard of the side effects I was having, nor were they listed on the medication or mentioned in the news). I also take cymbalta in conjunction with trazadone, which also supposedly helps you sleep, but the cymbalta alone is not effective for sleep at all for me.",trazodone,-5,,,,
IV 500 mg Levaquin with Solumedrol and Theophylline.  NEVER take these three drugs together!!!,levaquin,0,,,,
I cleanse and apply elocon twice daily to my face and take antibiotics twice a day for 3 months my face cleared but returned after discontinuation of therapy.  Now my dermatologist has restarted the antibiotics orally and added retinoid cream twice a day.,tetracycline,1,,,,
"I was already pretty clear from going to an esthetician at an acne clinic, but I was just looking for an additional boost to the results I already had.  I previously discovered that I could not use anything other than very mild OTC retinoids, as they tended to make my acne flare up.  Finacea did not do this.  The Finacea was a good addition to my skin care regimen and has decreased the frequency of inflamed pimples and the tiny pustules I sometimes get around my nose.  Now I use Finacea in the morning, and Vivant's Derm A Gel in the evening, along with 5% benzoyl peroxide on my more acne prone areas (chin and jawline).",finacea,6,,,,
"My doctor prescribed one 25mg capsule 3 times a day with food, for one month, which I followed; this treatment was completely successful for me. Since this treatment, I've used the nonsteroidal anti-inflammatory drug (NSAID) ibuprofen as needed to prevent further attacks.",indocin,1,,,,
"I don't know how to answer this question, except to say that I was prescribed Paxil 40 mg to be taken once a day because I couldn't stop crying over a grief issue.  It didn't work.  We switched to Wellbutrin, which was somewhat better and I took it for a year before stopping.  It's been seven years since I went off all drugs and I still have occasional withdrawal symptoms that I call ""brain shocks."" I don't recommend SSRIs to anyone for anything. Oh - and I'm still grieving... sigh...",paxil,-9,,,,
1 20mg capsule taken with water 1st thing in the morning.,prilosec,0,,,,
"My sister was diagnosed with ADHD and so was my brother (Both were much younger 11 and 7 years younger) Both suffered from learning disabilities. I drove my sister to an appointment and due to my family history I was asked to take a questionair. I was then told that while I was not learning disabled (A Student), I was hyper and did I want to try the above drugs. They said I would never know how bad off I was until I knew what it felt like to be normal. I was given two perscriptions and was told to start with one dose of the dexedrine in the am and to take the Depekote and dexedrine in the afternoon. If that didn't do it they would up my dexedrine. With in about two months I felt like jumping from my skin and decided that organization was not that worth it. My skin still shows the scarring from all the picking and squeezing but my tone is no longer ""death warmed over"".

PS the doctor that prescribed this to me was investigated, tried and convicted of over prescribing, drug dealing and improper relationships with patients. (I can't remember the exact charges but he did get about 16 years for dealing controlled substances and was turned in by two female patients who said that he took advantage of their situation and slept with them.)",dexedrine,-3,,,,
"once a day I had to a tiny amount of the cream on my face after cleaning.  That is all, and it worked.",duac,0,,,,
I don't understand this question.,seasonique,0,,,,
"I began taking ritalin and zoloft almost three years ago to treat ADHD and depression.  I also began seeing a therapist once a week.  I saw improvement, but it was slow and graduate at first, particularly with the regard to the Zoloft.  I saw immediate improvement with the ritalin.  It changed my daily life.  It keeps me calm; i am able to focus better and for longer.   I am no longer seeing the therapist nor am i taking the zoloft and today i feel great.",ritalin,8,,,,
"I was given Biaxin during a bout of the flu because the doctor thought I was at risk for a bacterial infection.  I'm allergic to penicillin, so I always have to take something else.  I had no problem the first day, but the second day I noticed a weird bitter taste that I couldn't get rid of.  The doctor told me to stop taking it for a day, and now I'm waiting for him to give me something else.",biaxin,-14,,,,
"Approx. 5 weeks into course of VOLTAREN at dosage of 4/day, felt pain in right side which increased to severe pain within 1/2 hour. Admitted as Emergency into hospital(Australia). CT scan showed air in abdomen.  Open surgery: small bowel resection - for lesion(wall thickened) plus perforation.",voltaren,-8,,,,
"Doc says to wait, that's the treatment.  I'm hoping like many this treatement will help me stop smoking and ease my depression.  You have to change your life and make yourself a better person, not just rely on drugs to cure you.  So, I'm working on the little things in life to change.",wellbutrin,9,,,,
"The first drug I was prescribed after a mastectomy and chemotherapy was Tamoxifen, which I took for almost 1 year.  My oncologist said it increased bone mass, so she wanted to use that first to counteract the bone mass-decreasing side effect of the aromatase inhibitors.  Their protocol is to use Tamoxifen for 2 years, then switch to an aromatase inhibitor for 3 years. However, I had some uterine bleeding ( I am post-menopausal) so they switched to Femara early. Tamoxifen may cause an increase in uterine cancer, which my grandmother had. The most annoying side effect of Femara is the increase in joint pain.  NSAIDs and glucosamine help somewhat but have their own side effects.  That said, I am willing to continue Femara for the next 2 years to help prevent cancer reccurence.  I read in the literature (Medscape) that 51% of women do not complete their 5 yrs of either drug, and my guess is because of side effects. I take supplemental calcium also to slow the bone loss.",femara,-2,,,,
I use Retin-A 0.25% every evening along with 70 mg of Accutane a day.  I will have to continue the Retin-A for at least a year.,retin-a,0,,,,
Vytorin was prescribed by my doctor for me for my high cholesterol. I took it for about a month and did not like the side effects. From the day that I began taking Vytorin I had diarrea. At first I thought it was purely coincidental until I stopped taking it for a few days. The side effects vanished. I took it again and they returned. I told my doctor about this and they switched me to Pravastatin ( same dosage) and the same side effects occurred. I then stopped taking the prescription.,vytorin,-4,,,,
"I really notice when I miss just one dose; it takes 2 - 3 days to catch up, but then I become very aware of negative feelings and apathy.  I am careful to take the dose in the mornings so it doesn't affect my sleep, but have taken as late as 4pm and not had sleep issues.",cymbalta,-5,,,,
"I started slowing losing hair when I was 23-24.  The hair loss was unnoticeable until I turned 27.  My receding hairline started to become very apparent at 27, especially in my part line.  I began taking propecia when I turned 28 and it appears to have regrown hair on the back and sides of my scalp and has slowed my receding hairline.  Unfortunately, it appears that I am still developing a minor bald spot in the middle of my scalp.  



Based on my current rate of hair loss, I'm guessing that I will maintain a healthy head of hair for the next 4-5 years.  At 35, I probably won't care how my hair looks because I'll be well out of the dating game.  



I don't think Propecia is a cure-all for my particular pattern of baldness, but I feel it would be highly effective for others.  Anyone who is experiencing baldness at the back of scalp would benefit greatly.  The receding hairline will probably continue, but at a much slower pace.  I may eventually go completely bald regardless, but I honestly feel I've saved 3-5 years of youthful appearance.",propecia,6,,,,
"I had been taking Effexor, Welbutrin and Ritalin for over three years. The combination worked better then any other cocktail I'd taken.  I complaine3d to Doctor that I was feeling lethargic so he switched me to Emsam. After a month he increased the dose. I attempted suicide. Found a new doctor..  Now taking cymbalta and welbutrin. Which seem to be working OK but they ain't no miracle drug.",emsam,5,,,,
"Before when I did not take yet this medication, I feel so uncomfortable everyday and always had an headache because of lack of sleep at night but as I take this pill I feel so relax on my daily activities.This pill is great!",ambien-cr,1,,,,
"I have been taking this medication for occasional insomnia for over one year now.  

I will continue to take this medication to treat my insomnia for as long as my physician prescribes it for me.",ambien,-4,,,,
I took 200 mg a night for a couple years but after awhile my doctor was worried it was becoming toxic so she took me off it.,seroquel,-6,,,,
This drug was added as I have very strong bladder spasms. It's side effects are better than ditropan and I would recommend people try it first,detrol-la,6,,,,
see above,norvasc,0,,,,
"I started applying a pea-sized amount of the Retin-A cream on every second night about one hour after washing. After two weeks, because there were no adverse effects for me I started using the cream nightly. With nightly usage I experienced very slight side-effects of sensitivity, slight redness after washing and occasional slight flaking. None of these effects were severe so I continued with nightly treatment. After approximately one month I experienced gradual lessening in severity and frequency of comedonic acne. Comedones still formed, but were less likely to become inflamed/infected. Slight reduction in surface oiliness noted. After about 10 weeks I noted a slight improvement in sundamage and skin texture. Overall I was very pleased with the efficacy of this product, but may in the future switch to the Retin-A gel to see if this results in a further reduction of comedones.",retin-a,2,,,,
"I didnt think this antibiotic was working because I had been taking it for 5 days and nothing was getting better, then around day 7 I was starting to turn around.",biaxin,0,,,,
Apply twice daily for a period of three weeks.   Do not use hot water on treatment area.  After shower or bath gently dry with towel. Moisturize often.,clobetasol,0,,,,
"Started out on 25mg/day and slowly worked my way up to 200/mg 2x's a day.  Saw a therapist once a week for about 8 weeks, then switched down to once every other week for a month.  Now my family Dr. is handling my prescription.  I am lucky about that because I was told that some Dr's do not feel comfortable handling bipolar drugs.",lamictal,1,,,,
Took 20mg 3x a day. Immediate release worked better than the extended version because I had more control of the med to taper it to my needs/schedule during the day.,adderall,2,,,,
"I took Paxil for 2 weeks and after experiencing the horrible side effects I decided to tell my doctor that I wanted to stop taking it. My first 2 - 3 days were fine, until the dose was increased. Overall, this drug had to many negative side effects to be effective.",paxil,-3,,,,
"stick the patch on designated areas for one week, three weeks as one cycle and you skip the fourth week for your monthly menstrual cycle.",ortho-evra,0,,,,
"Because side affects were so severe (I am 41 and felt like 80) I researched alternate remedies and began a program of weight-bearing exercise, calcium and magnesium supplements and natural hormone creams.",fosamax,1,,,,
..,trazodone,0,,,,
started with smaller doses and titrated up over time.   It made the nicotine completely ineffective.  the desire went down after several days. I don't really have much else to say.,chantix,-1,,,,
none,cymbalta,0,,,,
Four 20 mg capsules taken once daily. Also had to double reccommended daily water intake. Moisturised skin and lips when absolutell necessary although this was not advised by dermatologist due to clogging of pores.,sotret,0,,,,
It took a very long time to find the best medication and the best dosage. Over a year of trials. Medication is taken along with proper diet and increased physical activity. Omega 3 supplementation also added to routine. Important to note that nicotene is also taken regularly in the form of nicorette gum. All information above is based on the two together as complete treatment. Either on it's own is not enough.,ritalin,9,,,,
"I started with 25 mg a night, taken right before I wanted to fall asleep.  This worked off and one but not always for my insomnia.  I increased the dosage to 50 mg, which was highly effective.  I took one 50 mg pill.  I felt sluggish in the morning ONLY when I took a pill in the middle of the night, say 3 or 4 in the morning when I couldn't sleep.",desyrel,3,,,,
Requip is taken 1-1/2 to 2 hours before bedtime.,requip,0,,,,
"Take 1 pill in the morning to treat ADD-like symptoms that started after a car accident. Took several years to get Chronic Fatigue/Fibromyalgia diagnosis and quite awhile after that before this medicine was prescribed. Tried most of the standard ADD medications to help with brain fog but bad side effects, worked for awhile then stopped, or no effect. Many doctors not comfortable perscribing this medication for ADD or ADD-like symptoms since it's a weight-loss medicine. I usually only take this medication during the work week and give my body a break on teh weekends.",adipex-p,-4,,,,
I have recently started using a Netti-Pot in hopes of being able to stop using Flonase daily. I have not yet weened myself from Flonase.,flonase,1,,,,
"As said, this patient has been taking this in hopes of fighting depression he is dealing with while going through cancer treatments.",zoloft,-1,,,,
I was to put one drop in each eye in the morning and again in the evening.,restasis,-1,,,,
I take one 10 mg tablet a day.,lexapro,0,,,,
"The doctor advised taking 2 tablets for the first dose to 'kick start' it into my system, which I did.  After 4 days of the treatment, the swelling and the pain had almost gone.  I was then able to attend a dentist who could examine and treat the tooth that caused the abscess.",dispermox,-2,,,,
It had sedative effects so it just made me want to sleep. It wouldn't have been good for me at treating my dizzy spells while I was at work or in the middle of running errands because I would get much too tired to function safely.,antivert,2,,,,
"Patient is supposed to take it first thing in the morning so that its time release qualites have the longest impact. One is told that after a month or so you may need to boost your dosage to continue to experience benefits. However, for me, the benefit lasted only 1 week! Not worth it!",meridia,3,,,,
Take 150 mg at bedtime and go to sleep immediately thereafter.,trazodone,0,,,,
"I held on to the prescription for 18 months, but never filled it - until I decided I should, completely expecting to fail.  I did as prescribed and continued to smoke through the first week or so.  One night I saw only six cigarettes left. I became anxious and actually went out and BOUGHT TWO PACKS! Leaving the store, I felt like a junkie who just scored a fix, and, I was disgusted.  But - I smoked them, finishing the two packs in a bit over a week, which was much less smoking than I had ever done.  ..And,.. after smoking the last remaining cigarette, I magically never smoked again.  



It's been over a year and I can almost qualify as one who has no cravings because they are so, so rare (maybe once every four or five months) and they last for less than a nano-second. 



I'm so smoke free and amazed at two things: 1. How easy it was to stop because of the Zyban, and, 2. That I ever smoked at all - even though I did for 41 years. Other than being smart enough to finally get the prescription filled, I deserve no credit because there has been no need for any great will on my part. I have absolutely no cravings, no desires, no urges to have to will myself through.  They simply don't happen.",zyban,12,,,,
I began taking Lexapro for 6 weeks. I started at 5mg for two weeks and then increased it to 10mg. I plan to continue taking it for a long time as i have never felt better.,lexapro,-1,,,,
"For years I took 4 ml glimepiride daily for type 2 diabetes, but often awoke in the middle of the night due to hypoglycemia.  Finally my doctor reduced my glimepiride to 2 ml daily and added 250 ml metformin daily.  For me, this combination is very effective.  It controls my blood sugar as well as the glimepiride alone without the concomitant hypoglycemia.  I understand that some people with borderline type 2 diabetes control their sugar levels with metformin alone, and my doctor may try this if my glycohemoglobin blood tests (HbA1C) stay in the low 6s.",glucophage,0,,,,
Overall it was helpful but there is alot involved in being on the drug and the side effects are tolerable overall. I wish the benefits had a longer residual effect or there were some other long term treatments for cystic acne that were effective,accutane,7,,,,
"This drug makes your body to reject about 30% of fats that you intake with your meals. But you still get the rest of it. What happens with 30% - it comes out and sometimes it is quite an embarrassing experience. Got to control it later, mainly by cutting off food that was reach on fats. Maybe if cut fats alltogether, wouldnt have needed Xenical.",xenical,-4,,,,
"just went to the doctor, explained that all i felt like doing was sighing , and how i could burst out in tears at any given time- he suggested lexapro-i resisted-didn't want drugs. went back 1 month later and said, ok, lets try it-

i stopped crying, it worked",lexapro,0,,,,
"I was instructed to continue on the Lexapro at a lower dose for one week. At the 2nd week add my dose of Pristiq to the lower dose of Lexapro, at the 3rd week drop the Lexapro completely and continue on my dose of Pristiq. This was done while staying in contact with my prescribing doctor. Now I take 1 50mg tablet everyday of Pristiq, and am doing very well.",pristiq,-1,,,,
I take 1 -1.5 mg per night about an hour before i go to bed.  it stops the feeling of havingto move my legs and quiets them while i sleep so i can get sustained deep sleep.,requip,0,,,,
"20 mg of Paroxetine (Seroxat) per day during 4 years

10 mg of Paroxetine per day during 2 year",paxil,0,,,,
"Topamax 200mg in the morning and 300mg in the evening. I started at a low dose and worked up to the effective dose that stopped my tonic clonic seizures (generalized seizures). It took additional medications to reduce my complex partial seizures, which I continue to have on occasion.",topamax,1,,,,
Condition was long term and stress related.  Zoloft was merely a measure to ease the discomfort.,zoloft,-1,,,,
"Prescribed 875mg 2x/day for seven days but because of the horrific diarrhea, stopped at five days with doctors consent. Never again will I take Augmentin -- never.",augmentin,-2,,,,
Depression med.,effexor,0,,,,
"treatment details? What details? I have rosacea and metrogel is NOT effective, and made symptoms worse and now they don't go away at all. Thanks to our fantastic government regulations, pharmacuticals are approved by ignorant monkeys while effective, natural cures are ignored.   The best way to ease your rosacea is go on a diet of lemon water and plain, boiled chicken for a week. Take about 2 gm of pantothenic acid a day. It sucks, but it will clear it up. I'm sure a doctor will argue it and insist that some Gualderm product is better, but we all know how that works....",metrogel,14,,,,
"Topical application did not work.  Tried other prescription drugs as well (topical) but did not work.  Finally was advised to try a 1:5 solution of white vinegar and this cleared up the issue.  The vinegar made the nail bed inhospitable to fungus and nails grew in perfect, solving this 20+ year problem that plagued me.  I recommend anyone suffering from nail bed fungus to try this.  I put the solution in plastic bags tied with elastic bands and walked around with them for an hour a day.  Small price to pay for relief of this nasty affliction.",penlac,-5,,,,
"Nightly use, one hour before bed.",trazodone,0,,,,
My doctor prescribed Wellbutrin for depression and anxiety. I take 150mg two times per day.,wellbutrin,-2,,,,
Take pill once a day,strattera,0,,,,
Take the medication once per day and take measures to reduce the sources of stress in my life as well as take measures to more efficiently deal with existant daily stress.,benicar-hct,-2,,,,
"I took these two medications along with flagyl for three weeks, 3 times a day (this is my memory of it).  Fantastic!",amoxil,4,,,,
"I had two cases of bacterial tonsillitis four months apart. Both times the doctor did not want to prescribe antibiotics, however, I had had one case of bacterial tonsillitis several years ago and I knew that amoxicillin did not cure it. I requested a stronger antibiotic than amoxicillin. The doctor would not prescribe it. After several days of excruciating pain plus Tylenol with Codeine I begged for a stronger antibiotic. When Z-pak was prescribed, the antibiotic began taking effect in just a few hours. In 24 hours my symptoms were greatly reduced and the tonsillitis was cured in just a few more days.",zmax,1,,,,
"I took 25 to 50 mgs at bedtime for about 18 months.  I took myself off of it because I was tired of the ""hangover"" effect.  Since that time, the headaches are much less of a problem.",elavil,-4,,,,
Went up to 300mg a day from the starters pack within a few months of starting it.  Lifted a very deep depression; at the time it was a godsend. After a year of being on it at 300mg it is starting to lose effectiveness (which I am told is typical) so I will either have to switch or add something because I can't increase much more.,effexor-xr,7,,,,
"400 mg every morning, 200 mg early afternoon.",provigil,0,,,,
take once daily for relief of menopause symptoms,premarin,0,,,,
"It worked for several nights, then suddenly stopped working: I could not fall asleep and had to switch to Ambien CR.

It worked for several nights, then suddenly stopped working: I could not fall asleep and had to switch to Ambien CR. It worked for several nights, then suddenly stopped working: I could not fall asleep and had to switch to Ambien CR.

It worked for several nights, then suddenly stopped working: I could not fall asleep and had to switch to Ambien CR. It worked for several nights, then suddenly stopped working: I could not fall asleep and had to switch to Ambien CR.",lunesta,-5,,,,
For Atacand HCT take one pill by mouth every morning.  For Cartia XT take one capsule by mouth every evening.,nexium,0,,,,
Physical therapy twice a week. Doctor every two weeks. Suppose to take 1-2 Mobic everyday for pain. 1-3 Flexiril a day to relax tense muscles. I take Flexiril at night because it knocks me out. But have only needed it the first two days of treatment.,mobic,-4,,,,
I was advised to take the drug in the evenings and it was easy to incorporate the drug into my daily regimea,nexium,1,,,,
10 mg at nite b4 bed,baclofen,0,,,,
"My Effexor treatments as simple, just take the drug once a day on the extended release type.",effexor,0,,,,
"Proscar was cut into 4 pieces and 1.25 mg were taken daily for over 2 years. There was immediate cessation of loss and moderate amounts of regrowth. Return to baseline, and then drastic fall below baseline, was observed in the year subsequent to drug initiation.",proscar,-4,,,,
"I had to apply gel each night and keep it on whilst asleep, I would wash off in the morning and use other products as normal.",triaz,0,,,,
I took the tapazole daily along with atenolol for the shaking and heart racing I was experiencing.  I am completely drug free for 9 months and the thyroid is fine.  I am so glad I didn't let the doctors irradiate the gland to ablate it.  I would have had to be on synthoid forever.,tapazole,6,,,,
"I must say, I got extremely lucky with this medication. It was the first one I tried, and the only one I had to try. I was 19 when I starting taking this medication and was just starting my first year of college. I lived in an apartment with my boyfriend and attended school, no job. But that's all I did. Never made it out of the apartment, never went out, I lived in a huge city, made no friends, just an absolute mess. My emotions were a wreck and I felt absolutely helpless. I cried alll the time and I started having panic attacks out of nowhere, which I had absolutely NO idea what was going on. I just dealt with them in horror. I drank and did drugs, but it only made things worse. My doctor prescribed this drug and it did absolute wonders, within a week, I was starting to feel the weight being lifted off my shoulders. Within 3 weeks, I was able to drive in traffic, and open my blinds to let the sun in. Within 2 months, I was back to normal! I have the occasional off days, but who doesn't? The thought of possibly being dependent on this medication scares me because of how hard it's said to be weaned off of it, but I'm too scared to even TRY coming off effexor because of the withdrawal symptoms I experienced before. Overall, this medication is amazing, and does wonders.",effexor-xr,-16,,,,
"The way it was prescribed I was to take up to one pill and I could take it every 4 hours.  That dosage was way to high for me so I decreased it to a quarter of a pill and only took it when I had extreme anxiety.  One bottle of 30 lasted me two years.  I almost never go to the doctor and I never really take drugs unless it is absolutely necessary.  I wanted to do your survey so I could get the free report on making home creams, but I also really like what you are doing!",xanax,1,,,,
The treatment overall treated my anxiety quickly and effectively. No regrets. The drug overall has treated me effectively despite the minor drawbacks.,clonazepam,1,,,,
I gave my son a teaspoon of amoxicillin after each of three meals per day for ten days in total.,amoxil,0,,,,
Applied daily in the evening. At first sign of a cyst forming I usually apply it twice daily.,benzaclin,0,,,,
"Began treatment with spray before sinus surgery and continued after surgery.  6 months after surgery, the spray was stopped.",nasonex,-1,,,,
"I had never been diagnosed with high blood pressure, but had recently gained several pounds because of the double round of steroids I was put on because of a severe skin rash (seasonal allergic reaction). Since we had recently moved I didn't have a PCP yet and the rash on my arms looked like it may have been getting infected, I went to a local emergent care center and saw a doctor there. They took my blood pressure and immediately put me on Benicar HCT, 20 mg, once a day. I took the medication as prescribed until the anal pain got to be too bad. Since going off the medication my BP is a little elevated but I'm reluctant to go back on any meds, especially no one seems to be willing to admit the Benicar caused this problem or is offering any solutions to help it get better.",benicar-hct,-9,,,,
see side effects,arava,0,,,,
Took 150 mg or 1 tablet 2 times a day,trileptal,0,,,,
"once a day, usually in the morning put 1-2 drops in each eye",pataday,0,,,,
"Begginng dose: 25 mg for 1.5 yr.(may 08 to dec 09).



Dec 09: want 2 have bbs..so I talked 2 my Doc and I start with 12.5 this week (dec 7, 09). To end the process.



If I can turn back time..OMG..I used alternative treatments..no drugs..",paxil-cr,2,,,,
This medication was working well until it changed from round tablet to oblong tablet.  Now need to take higher dose for similar effect.  Has not worked as well since name brand was sold to different company and shape change.  I wonder if there are women having same problem.  Had surgical menopause for 19 years.,estrace,-2,,,,
Patient suffering from severe depression prior to medication. Had taken Wellbutrin SR in the past with moderate side effects and moderate improvement in depression. Attending psychiatrist prescribed Wellbutrin XL at a higher dose in conjunction with Dexedrine for ADD. Marked improvement in depression and ADD symptoms. Patient still taking medication.,wellbutrin-xl,0,,,,
Take one pill 2 times a day,oxycontin,0,,,,
"In therapy weekly and using ""Feeling Good"" and ""Break the Chain of Low Self-Esteem"".",lamotrigine,0,,,,
I put on a new patch twice a week. I recommend Vivelle Dot to most women.,vivelle-dot,2,,,,
"I asked for the drug in liquid form, as I have difficulty swallowing many pills.  I took the drug as recommended, but the symptoms did not get better.  As I mentioned earlier, the symptoms got worse.  I called my doctor's office on the third day and was told that the symptoms I was experiencing was the infection.  By day 5 I knew it was the drug, and stopped taking it.  After a couple of days the nausea went away, and eventually the sinusitus infection slowly got better.  I will never take Levaquin again!",levaquin,-8,,,,
"I apply it over my entire face (except for eye areas)after washing and toning, but before moisturizing or applying wrinkle reduction cream.",finacea,0,,,,
My Dr gave me a sample pack (containing 7-37.5 mg capsules & 7-75mg capsules) as well as a  prescription for 75 mg. I was to take the 37.5 mg capsules then the 75 mg capsules. The dosage has been increased over time to 300mg.,effexor-xr,1,,,,
on drug to control pain prior to surgical correction of a herniated cervical disk and for post op pain,ultracet,-4,,,,
apply a thin layer every night to clean skin.,differin,2,,,,
The treatment was to take 1 tablet orally 2 times a day for 5 days.,tamiflu,0,,,,
"In the first few weeks I couldn�t see any changes in my skin�s condition but dryness. Then, after ca. 6-8 weeks the skin became more and more clean and soft. The treatment lasted about 4 month and was highly effective. No Acne after stopping to take the Accutane.

The skin would remain drier than usual several years after the treatment had been finished and it would be clean.

I can recommend it to people who have severe Acne vulgaris.",accutane,6,,,,
The doctor had me take flexeril 3 times a day but i started out with 1 at bedtime for 2 1/2 weeks.  It took 2 weeks to work but after i started taking it 3 times a day at it worked faster.  It helps to stretch also while you take flexeril.,flexeril,2,,,,
"Works great... Very happy with it, as alprazolam seems to have no effect on me.",citalopram,7,,,,
the doctor prescribed the drug and i take 1/2 tablet a day which would be 25 mg.,atenolol,0,,,,
"Allergies are very common in Oklahoma because of the ragweed. Different medicines prescribed and over the counter were tried.  At one point, I had to visit the doctor every six months two get a B12 shot and a steroid shot.  I was not pleased with the such frequent visits to the doctor's office but needed a treat for my new found allergies that were really affecting my work and family life. I began taking 1 tsp onf Zyrtec once per day.  The drug proved to work.",zyrtec,-3,,,,
"First need to say Drs. waned me to have thyroid ablation. I opted to ""keep"" my thyroid and treat with mediycation, rather than ""killing it off"" chemically and becoming HYPO-Thyroid and treating with a replacement ""synthroid"" type meds.



Early in treatment Drs. would give me a certain dose to take for as much as 6 weeks-long after reaching ""normal"" (tsh etc..)thyroid levels, Now I monitor myself by how I feel and usually I'm not accurate, but most of the time I am.



ALSO I now have Osteopenia-exercise and calcium and Vit D are all very important!",methimazole,4,,,,
Treatment was immediately stopped after suicidal episode and this effect was reported to the drug administration by the pharamcist. I gave up smoking without the product.,chantix,-3,,,,
"1 pill every morning taken with water on an empty stomach, I didn't eat for about half hour after taking the medication , also I made sure I didn't drink it with grapefruit juice ,",levoxyl,-1,,,,
Started the treatment for 60 days at maximum recommended rate; the patient found no perceptible improvement he then trailed off to stop treatment over the following 60 days.,metformin,4,,,,
"Taken once a day (until up to 150 mg/day and then taken twice a day).  Always in the morning, as would help with insomnia.",effexor-xr,0,,,,
"acyclovir, rest.  PRN doses of ibuprophen. Tape eye shut and use of moisture drops.",valtrex,0,,,,
"I took the pill only when i had a migrane for a period of 3 months. I would be okay before and while i took the pill. The low mood, feelings of unworthiness and a heavy feeling in my head that i can't explain any better",tramadol,3,,,,
"high cholesterol, 260, at menopause and 2 younger brothers with heart attacks in early 50s.  Both brothers had high blood VLDLs.  So took Lipitor to keep blood cholesterol levels down because of family history of high blood cholesterol on both maternal and paternal sides of family.",lipitor,-1,,,,
